neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.263,0.737,0.0,-0.7579
0.0,1.0,0.0,0.0
0.114,0.664,0.222,0.6908
0.0,1.0,0.0,0.0
0.136,0.66,0.204,0.4939
0.037,0.817,0.146,0.6458
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.156,0.75,0.094,-0.4708
0.314,0.523,0.163,-0.5106
0.0,1.0,0.0,0.0
0.159,0.785,0.056,-0.6114
0.176,0.824,0.0,-0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.82,0.18,0.6809
0.074,0.839,0.087,0.1027
0.0,1.0,0.0,0.0
0.06,0.94,0.0,-0.3182
0.0,1.0,0.0,0.0
0.331,0.551,0.119,-0.7184
0.0,1.0,0.0,0.0
0.0,0.806,0.194,0.5897
0.226,0.67,0.104,-0.8001
0.125,0.875,0.0,-0.4019
0.0,1.0,0.0,0.0
0.072,0.928,0.0,-0.5267
0.0,1.0,0.0,0.0
0.061,0.865,0.074,0.0644
0.0,0.792,0.208,0.6369
0.0,1.0,0.0,0.0
0.147,0.853,0.0,-0.5849
0.0,1.0,0.0,0.0
0.125,0.815,0.06,-0.4639
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.221,0.702,0.077,-0.8316
0.0,0.879,0.121,0.7251
0.122,0.797,0.082,-0.25
0.143,0.778,0.08,-0.5312
0.0,1.0,0.0,0.0
0.067,0.933,0.0,-0.3612
0.0,0.86,0.14,0.4767
0.0,1.0,0.0,0.0
0.055,0.85,0.095,0.204
0.148,0.632,0.22,0.4059
0.1,0.68,0.221,0.7707
0.0,0.804,0.196,0.743
0.0,1.0,0.0,0.0
0.135,0.865,0.0,-0.4404
0.0,0.75,0.25,0.7184
0.047,0.905,0.047,0.0
0.355,0.645,0.0,-0.296
0.164,0.767,0.068,-0.5423
0.419,0.581,0.0,-0.7579
0.0,1.0,0.0,0.0
0.331,0.61,0.059,-0.891
0.113,0.887,0.0,-0.4019
